2026-08-07 11:40:55,006 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:40:58,247 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:41:01,489 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:41:04,694 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:41:07,855 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:41:11,079 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:41:14,257 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:41:17,440 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:41:20,673 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:41:23,940 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:41:27,119 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:41:30,370 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:41:33,548 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
